P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
MAL-M	MAL-C	ABQ-S	0.206701	3.22184	0.00127371	0.0703674	119.842	81.2331	53.4035
MAL-C	MOB-C	ABQ-S	0.0988929	1.65448	0.0980301	0.0275167	200.879	57.2246	46.925
ABQ-S	MOB-G	MAL-C	0.0268071	0.434652	0.663815	0.0137765	114.852	67.6515	64.1191
MOB-S	ABQ-S	MAL-C	0.0128924	0.232079	0.816476	0.00403705	236.736	42.5567	41.4734
MAL-C	MTB-F	ABQ-S	0.0387092	0.673068	0.500904	0.0115726	168.922	57.7886	53.4814
PAS-C	MAL-C	ABQ-S	0.0729007	1.25518	0.209414	0.0198336	199.019	56.1888	48.553
MAL-C	ABQ-S	REN-C	0.0933471	1.12232	0.261727	0.0179832	156.36	50.9181	42.2236
MAL-C	ABQ-S	REN-HC	0.111368	1.57493	0.115272	0.0238454	153.606	53.7277	42.9598
REN-HS	ABQ-S	MAL-C	0.067624	1.12363	0.261169	0.0259921	186.152	55.9335	48.8478
ABQ-S	REN-S	MAL-C	0.0184975	0.305014	0.760355	0.00706635	190.442	51.5475	49.6752
MAL-C	RGG-C	ABQ-S	0.022538	0.422791	0.672448	0.0059325	213.228	50.7685	48.5305
RGG-S	ABQ-S	MAL-C	0.0161922	0.277835	0.781139	0.00412968	334.824	34.5942	33.4918
SLV-F	MAL-C	ABQ-S	0.0673024	1.08466	0.278071	0.0169704	218.755	51.3789	44.8992
SLV-M	MAL-C	ABQ-S	0.203764	2.98684	0.00281876	0.0690317	120.548	79.5889	52.6445
ABQ-S	MAL-C	SLV-O	0.149289	1.04924	0.294068	0.00389594	174.341	13.002	9.62413
SNM-C	MAL-C	ABQ-S	0.0768725	1.51971	0.128584	0.0162871	240.69	43.1635	37.0011
SNM-M	MAL-C	ABQ-S	0.231646	3.53646	0.000405525	0.0793296	116.699	83.4932	52.0866
SNM-S	ABQ-S	MAL-C	0.0130412	0.213791	0.83071	0.00338353	325.322	34.8956	33.9972
MAL-C	TES-C	ABQ-S	0.0823284	1.60404	0.108706	0.0232371	211.688	57.0273	48.3516
TES-M	MAL-C	ABQ-S	0.233718	3.63543	0.000277513	0.0788287	120.088	82.5405	51.2672
ABQ-S	TES-S	MAL-C	0.0039845	0.0810033	0.935439	0.000963428	336.467	32.2527	31.9967
TRE-F	MAL-C	ABQ-S	0.0650932	0.959954	0.337078	0.0162064	213.916	50.7178	44.5186
TRQ-F	MAL-C	ABQ-S	0.123255	1.8096	0.0703581	0.0310075	213.427	54.9149	42.8632
MAL-M	MOB-C	ABQ-S	0.284589	5.29567	1.18584e-07	0.10034	108.84	89.0012	49.5665
ABQ-S	MOB-G	MAL-M	0.0499872	0.745597	0.455911	0.0133908	129.388	59.49	53.8256
MOB-S	ABQ-S	MAL-M	0.00424977	0.0695578	0.944546	0.000702448	251.28	36.1044	35.7988
MAL-M	MTB-F	ABQ-S	0.22888	3.76715	0.000165121	0.0805778	102.377	84.7813	53.2001
MAL-M	PAS-C	ABQ-S	0.142802	2.49008	0.0127715	0.0477827	128.986	75.5788	56.6905
MAL-M	ABQ-S	REN-C	0.144303	1.53415	0.124994	0.0298103	137.024	56.1092	41.9578
MAL-M	ABQ-S	REN-HC	0.13612	1.57047	0.116306	0.0315724	132.978	58.32	44.3452
REN-HS	ABQ-S	MAL-M	0.051126	0.794975	0.426628	0.0103408	198.901	46.7833	42.2322
ABQ-S	REN-S	MAL-M	0.0111929	0.161149	0.871976	0.00217861	203.546	42.8566	41.9078
MAL-M	RGG-C	ABQ-S	0.211305	3.55947	0.00037161	0.0738688	118.236	83.9121	54.6362
RGG-S	ABQ-S	MAL-M	0.0508229	0.724732	0.468617	0.00696438	350.105	31.4274	28.3874
MAL-M	SLV-F	ABQ-S	0.158204	2.4705	0.0134925	0.0498985	129.534	71.8971	52.2556
SLV-M	MAL-M	ABQ-S	0.0013284	0.0157045	0.98747	0.000116527	371.063	17.1247	17.0793
ABQ-S	MAL-M	SLV-O	0.113317	0.664061	0.506651	0.00296093	164.151	12.5483	9.99392
MAL-M	SNM-C	ABQ-S	0.154829	2.17591	0.0295621	0.0505435	118.975	73.5533	53.8306
SNM-M	MAL-M	ABQ-S	0.0870885	1.08601	0.277476	0.0074821	393.981	18.5111	15.5452
SNM-S	ABQ-S	MAL-M	0.035302	0.468202	0.63964	0.00477483	338.422	30.4854	28.4064
MAL-M	TES-C	ABQ-S	0.247255	4.38628	1.15305e-05	0.08966	112.436	88.8334	53.6129
TES-M	MAL-M	ABQ-S	0.0720747	0.920452	0.357337	0.00612448	395.897	18.0715	15.6416
TES-S	ABQ-S	MAL-M	0.00315838	0.0531539	0.957609	0.000400974	351.159	27.7207	27.5461
MAL-M	TRE-F	ABQ-S	0.153448	2.7187	0.00655389	0.0493215	122.345	73.1529	53.6892
MAL-M	TRQ-F	ABQ-S	0.108497	1.59053	0.111716	0.0343601	129.058	69.2478	55.6921
ABQ-S	MOB-G	MOB-C	0.0950739	1.51105	0.130774	0.0568259	105.822	80.0536	66.1532
ABQ-S	MOB-S	MOB-C	0.0388706	0.695031	0.487036	0.0147036	227.74	49.5549	45.8466
MTB-F	MOB-C	ABQ-S	0.0549696	1.15925	0.246354	0.0161453	180.039	56.5705	50.6753
PAS-C	MOB-C	ABQ-S	0.160505	2.86325	0.00419323	0.0466533	181.059	64.3876	46.5772
MOB-C	ABQ-S	REN-C	0.0669957	0.789289	0.429943	0.0128109	165.185	48.6836	42.57
MOB-C	ABQ-S	REN-HC	0.100525	1.30915	0.190485	0.0205766	161.221	50.2128	41.0397
REN-HS	ABQ-S	MOB-C	0.0225805	0.383124	0.701628	0.0101008	176.693	57.9198	55.3619
ABQ-S	REN-S	MOB-C	0.0591072	0.930952	0.351879	0.0256863	179.954	57.7135	51.2717
RGG-C	MOB-C	ABQ-S	0.0760614	1.37299	0.169755	0.0213851	208.776	56.141	48.2044
RGG-S	ABQ-S	MOB-C	0.00273845	0.0474706	0.962138	0.000769827	322.843	35.288	35.0953
SLV-F	MOB-C	ABQ-S	0.157879	3.13393	0.00172485	0.0449871	185.588	62.4975	45.4542
SLV-M	MOB-C	ABQ-S	0.281949	5.02736	4.97268e-07	0.0997895	110.799	87.985	49.2826
ABQ-S	MOB-C	SLV-O	0.0153518	0.111929	0.91088	0.000391101	174.48	11.2315	10.8919
SNM-C	MOB-C	ABQ-S	0.156613	2.48587	0.0129234	0.0424735	190.578	58.8644	42.9231
SNM-M	MOB-C	ABQ-S	0.304344	5.1132	3.16745e-07	0.10781	106.512	90.8893	48.4747
ABQ-S	SNM-S	MOB-C	0.0324976	0.518629	0.604019	0.009114	312.944	36.4737	34.1777
TES-C	MOB-C	ABQ-S	0.0159415	0.319223	0.749557	0.00475517	203.474	54.8454	53.1242
TES-M	MOB-C	ABQ-S	0.313713	5.84119	5.18295e-09	0.108937	110.75	89.925	46.9771
TES-S	ABQ-S	MOB-C	0.0256771	0.437974	0.661405	0.00670765	325.428	33.8613	32.166
TRE-F	MOB-C	ABQ-S	0.147543	2.9214	0.00348458	0.0418516	184.825	61.7312	45.8573
TRQ-F	MOB-C	ABQ-S	0.204505	3.64438	0.000268033	0.0585169	182.185	66.4367	43.877
ABQ-S	MOB-S	MOB-G	0.00990818	0.175691	0.860537	0.00444811	190.026	53.4399	52.3913
ABQ-S	MOB-G	MTB-F	0.157246	2.65146	0.00801449	0.102182	105.814	83.8586	61.0692
ABQ-S	MOB-G	PAS-C	0.0074177	0.128953	0.897395	0.00381208	122.601	65.3901	64.4272
MOB-G	ABQ-S	REN-C	0.0489615	0.66144	0.50833	0.00934734	200.618	46.9941	42.6071
MOB-G	ABQ-S	REN-HC	0.0989111	1.31842	0.187364	0.0201551	196.25	49.1969	40.3406
ABQ-S	REN-HS	MOB-G	0.134321	2.70194	0.00689365	0.0764967	133.262	75.6419	57.7276
ABQ-S	REN-S	MOB-G	0.160343	2.89616	0.00377756	0.0879199	139.191	74.0151	53.5594
ABQ-S	MOB-G	RGG-C	0.0646321	1.06798	0.285529	0.0383267	113.834	75.1352	66.0125
RGG-S	ABQ-S	MOB-G	0.0938693	1.67886	0.0931803	0.0287826	284.463	40.695	33.7106
MOB-G	ABQ-S	SLV-F	0.0099284	0.175211	0.860913	0.00385831	120.379	63.6943	62.442
ABQ-S	MOB-G	SLV-M	0.0629875	0.919813	0.357671	0.0181586	126.709	59.5157	52.4625
ABQ-S	MOB-G	SLV-O	0.0285815	0.193683	0.846424	0.00067074	187.845	10.3741	9.79757
ABQ-S	MOB-G	SNM-C	0.0457663	0.77431	0.438748	0.0201606	113.872	63.8426	58.2547
ABQ-S	MOB-G	SNM-M	0.0552806	0.808799	0.418631	0.0151653	132.581	59.1685	52.9694
SNM-S	ABQ-S	MOB-G	0.0825199	1.248	0.212031	0.0242453	271.656	38.5521	32.6745
ABQ-S	MOB-G	TES-C	0.0144762	0.262376	0.793032	0.007955	110.781	72.187	70.1269
ABQ-S	MOB-G	TES-M	0.0708298	1.04308	0.296913	0.0195042	129.249	59.9833	52.0481
TES-S	ABQ-S	MOB-G	0.0995385	2.01826	0.0435647	0.0290848	287.172	38.6291	31.6351
ABQ-S	MOB-G	TRE-F	0.00490914	0.0804902	0.935847	0.00212004	120.174	64.4414	63.8118
MOB-G	ABQ-S	TRQ-F	0.0122893	0.209424	0.834117	0.00515308	124.288	62.7328	61.2096
ABQ-S	MOB-S	MTB-F	0.0739121	1.26997	0.204097	0.0285792	225.814	47.5742	41.0256
MOB-S	ABQ-S	PAS-C	0.0610995	1.10223	0.27036	0.0198347	246.565	45.7084	40.4445
MOB-S	ABQ-S	REN-C	0.0877528	1.20353	0.22877	0.010287	316.346	30.2007	25.3279
MOB-S	ABQ-S	REN-HC	0.113373	1.72817	0.0839584	0.0145329	314.258	31.5158	25.0974
ABQ-S	MOB-S	REN-HS	0.161146	4.26845	1.96832e-05	0.186858	120.637	80.412	58.0926
ABQ-S	MOB-S	REN-S	0.126224	2.96589	0.00301812	0.135931	114.499	79.8371	61.9412
ABQ-S	MOB-S	RGG-C	0.00108866	0.02043	0.9837	0.000395007	235.538	44.6934	44.5962
RGG-S	ABQ-S	MOB-S	0.117031	2.52135	0.0116904	0.124002	173.334	66.6725	52.702
MOB-S	ABQ-S	SLV-F	0.0406989	0.726562	0.467494	0.0104716	245.547	44.7489	41.2489
ABQ-S	MOB-S	SLV-M	0.00321441	0.0555187	0.955725	0.000573921	246.945	35.7588	35.5296
MOB-S	ABQ-S	SLV-O	0.156952	1.14823	0.250875	0.00333311	220.847	10.6952	7.7934
MOB-S	ABQ-S	SNM-C	0.0242313	0.446651	0.655127	0.00655559	236.223	40.2145	38.3117
ABQ-S	MOB-S	SNM-M	0.0287791	0.437938	0.661431	0.0047435	252.139	35.7472	33.7472
SNM-S	ABQ-S	MOB-S	0.08117	2.00786	0.0446578	0.0874361	159.696	63.5178	53.9805
MOB-S	ABQ-S	TES-C	0.0637766	1.11901	0.263134	0.0212969	229.597	48.3019	42.5102
ABQ-S	MOB-S	TES-M	0.0145009	0.231155	0.817194	0.0023948	251.46	35.4659	34.4521
TES-S	ABQ-S	MOB-S	0.0864726	2.02614	0.0427503	0.0898822	173.814	61.6062	51.7997
MOB-S	ABQ-S	TRE-F	0.0563081	1.06992	0.284656	0.0160122	245.287	46.1171	41.2004
MOB-S	ABQ-S	TRQ-F	0.0553492	0.937115	0.348699	0.0153046	251.452	44.8873	40.179
PAS-C	MTB-F	ABQ-S	0.105859	2.06536	0.038889	0.0330583	161.395	65.8633	53.2537
MTB-F	ABQ-S	REN-C	0.0638328	0.765383	0.444044	0.0124505	160.044	49.5012	43.5608
MTB-F	ABQ-S	REN-HC	0.0858748	1.02312	0.306251	0.0183926	154.684	51.9401	43.7249
ABQ-S	REN-HS	MTB-F	0.0335052	0.536079	0.591904	0.0166801	176.806	58.6563	54.8532
ABQ-S	REN-S	MTB-F	0.133262	2.2537	0.0242151	0.0630927	180.034	61.4955	47.0328
RGG-C	MTB-F	ABQ-S	0.0154679	0.30762	0.758371	0.0049182	180.37	59.7145	57.8953
RGG-S	ABQ-S	MTB-F	0.013532	0.229266	0.818662	0.00386145	324.411	33.2246	32.3374
SLV-F	MTB-F	ABQ-S	0.104817	2.2243	0.0261282	0.0309806	167.91	61.6806	49.977
SLV-M	MTB-F	ABQ-S	0.231621	3.95113	7.77825e-05	0.0808962	102.485	83.3103	51.9753
MTB-F	ABQ-S	SLV-O	0.0825828	0.570687	0.568212	0.00219467	174.952	12.4914	10.5857
SNM-C	MTB-F	ABQ-S	0.0993972	1.66038	0.0968388	0.0280565	165.22	58.2077	47.6825
SNM-M	MTB-F	ABQ-S	0.249526	3.93512	8.31543e-05	0.0881551	100.816	86.6729	52.0563
ABQ-S	SNM-S	MTB-F	0.0115177	0.193881	0.846269	0.00333803	313.565	33.4289	32.6676
MTB-F	TES-C	ABQ-S	0.0354409	0.718933	0.472182	0.0114286	173.408	60.9745	56.8005
TES-M	MTB-F	ABQ-S	0.250266	4.27819	1.88419e-05	0.0880964	103.48	86.4817	51.8596
ABQ-S	TES-S	MTB-F	0.0111231	0.20899	0.834456	0.00298901	326.07	31.2051	30.5186
TRE-F	MTB-F	ABQ-S	0.0957616	1.7785	0.0753219	0.0287503	165.026	62.3353	51.44
TRQ-F	MTB-F	ABQ-S	0.155721	3.01353	0.00258226	0.0448373	163.416	63.9528	46.7189
PAS-C	ABQ-S	REN-C	0.0797573	1.0724	0.283539	0.0157659	150.01	51.4217	43.8251
PAS-C	ABQ-S	REN-HC	0.130733	1.83554	0.0664258	0.0276494	146.416	54.072	41.5686
REN-HS	ABQ-S	PAS-C	0.0843724	1.53864	0.123891	0.033141	194.866	57.1364	48.2451
ABQ-S	REN-S	PAS-C	0.00514321	0.085512	0.931854	0.00199193	198.618	50.6367	50.1185
PAS-C	RGG-C	ABQ-S	0.0927723	1.85492	0.0636076	0.0268873	194.67	61.0966	50.7228
RGG-S	ABQ-S	PAS-C	0.00281805	0.0467173	0.962739	0.00074037	341.784	34.294	34.1013
PAS-C	SLV-F	ABQ-S	0.0123152	0.229485	0.818492	0.00271898	246.582	42.9452	41.9004
SLV-M	PAS-C	ABQ-S	0.146619	2.27148	0.0231177	0.0488527	127.156	74.5232	55.4645
ABQ-S	PAS-C	SLV-O	0.0362928	0.279852	0.779591	0.00101827	174.809	12.6435	11.7579
PAS-C	SNM-C	ABQ-S	0.0105937	0.172894	0.862735	0.00285305	198.02	51.7241	50.6397
SNM-M	PAS-C	ABQ-S	0.168659	2.82739	0.00469295	0.0562111	126.727	77.0625	54.8195
SNM-S	ABQ-S	PAS-C	0.044009	0.688026	0.491437	0.0114663	334.686	36.0268	32.9894
PAS-C	TES-C	ABQ-S	0.139741	2.63354	0.00845002	0.0427105	187.447	66.5186	50.2072
TES-M	PAS-C	ABQ-S	0.174706	2.83884	0.00452777	0.05835	127.89	77.7873	54.6497
TES-S	ABQ-S	PAS-C	0.0432961	0.81608	0.414454	0.010455	345.931	33.2281	30.4702
PAS-C	TRE-F	ABQ-S	0.0155907	0.296905	0.766539	0.00344392	224.437	43.1688	41.8434
TRQ-F	PAS-C	ABQ-S	0.0542327	0.931473	0.351609	0.0117825	242.24	44.5408	39.9582
REN-C	REN-HC	ABQ-S	0.120453	1.6746	0.0940119	0.0127695	412.967	26.5197	20.8177
ABQ-S	REN-HS	REN-C	0.00772064	0.119494	0.904884	0.00122426	266.342	37.3031	36.7315
ABQ-S	REN-S	REN-C	0.151036	2.17914	0.0293211	0.0238666	270.872	42.8267	31.5875
RGG-C	ABQ-S	REN-C	0.0834991	1.09229	0.274706	0.0171773	163.132	53.6951	45.4192
RGG-S	ABQ-S	REN-C	0.21777	3.23278	0.00122594	0.0225516	413.612	30.4935	19.5874
SLV-F	ABQ-S	REN-C	0.0752274	0.864711	0.387197	0.0145755	147.833	49.7076	42.7521
SLV-M	ABQ-S	REN-C	0.11699	1.23851	0.215525	0.0245113	137.029	54.7507	43.2818
REN-C	ABQ-S	SLV-O	0.0609198	0.398709	0.690108	0.00189041	134.033	13.7903	12.2066
SNM-C	ABQ-S	REN-C	0.13461	1.61857	0.105541	0.0256745	151.749	51.8726	39.5643
SNM-M	ABQ-S	REN-C	0.108003	1.21147	0.225715	0.0228935	134.136	55.3104	44.5276
SNM-S	ABQ-S	REN-C	0.134398	1.74066	0.0817437	0.0137806	402.427	27.602	21.0617
TES-C	ABQ-S	REN-C	0.111437	1.45372	0.146023	0.0218686	167.191	52.629	42.0754
